stamp,state_id,v_x,v_y
1.1,,0.857541713652046,-0.42899443722423986
1.11,,0.751461650174317,0.13479301151701845
1.12,,1.1191116808994446,0.28431295635337184
1.13,,0.8003569530263165,0.8526519596119833
1.14,,0.5768891466608903,0.5177308389631071
1.15,,0.31342790745448634,0.4368622792403419
1.16,,1.046540528911844,0.6712546058803381
1.17,,0.6365620191561021,0.4912360849511431
1.18,,1.0252152042212872,0.3748432476793328
1.19,,0.9758082799374193,0.5182422952938678
1.2,,1.5529920516695026,-0.4267039235275706
1.21,,0.5920401638058757,0.69617101203968
1.22,,1.036435091985485,0.49623898852146364
1.23,,1.4253405263886096,0.2254709932963995
1.24,,0.5226640752792946,0.40867798995300636
1.25,,0.6827703761976427,0.3635293477691636
1.26,,0.848114477587629,-0.0408456795872254
1.27,,1.436057340043977,0.4840875636346924
1.28,,0.7209386970695234,0.6379150945748253
1.29,,0.7709991241379401,1.2461359133439678
1.3,,0.537062921011654,0.6793967314851557
1.31,,0.8515169412274755,-0.21179767425547352
1.32,,0.7813623914627821,-0.48070043638315485
1.33,,0.9610869044775339,0.27404780092164177
1.34,,1.0645828568855837,0.7024962119525678
1.35,,0.8805463410370226,0.47434666788469537
1.36,,1.0766031455259235,0.1481049954016147
1.37,,0.32316559754647667,0.49907589844564204
1.38,,0.8224829743044011,0.19531898280141569
1.39,,0.5819458416828789,0.26930402312279517
1.4,,0.8542752415604475,0.16094960492961977
1.41,,1.4722902955783257,-0.21578579097350106
1.42,,1.0193647564818475,-0.15971029781862078
1.43,,0.876968621803233,0.08384924204877126
1.44,,1.548968784485972,0.44396549563469345
1.45,,0.9511878482012166,-0.6593140299171
1.46,,1.2307815711584287,0.01815401363696903
1.47,,0.945021028672004,-0.021184852975583895
1.48,,0.9748540469062634,0.10059966463279935
1.49,,0.4059338629548598,0.0804538316704677
1.5,,1.4065512933783406,-0.06808604880009524
1.51,,1.1847393341108996,-0.15408113474589774
1.52,,0.6980062358310536,-0.1719606468973034
1.53,,0.9846636256010378,-0.028384581840903325
1.54,,1.486265824706157,-0.3324607132697181
1.55,,0.6549885091146466,0.5584415272251151
1.56,,1.1924560166740341,-0.5841582384254574
1.57,,1.1572499791058586,0.07584751602563976
1.58,,0.3218248962536946,-0.12606944343702933
1.59,,0.9942958747092048,0.2120872911478589
1.6,,1.2975567727983166,-0.14101473269125725
1.61,,1.170315470350805,-0.3267794832184302
1.62,,0.6198008385173636,-0.5182898168585438
1.63,,1.077972770586023,-0.33419827824522325
1.64,,1.129597250632302,-0.2566109328645031
1.65,,0.5641546590171803,0.2153310008737142
1.66,,1.8124618213801678,-0.015470141214418198
1.67,,0.4235458751374436,0.11286957610556114
1.68,,0.3715633341895046,-0.4952348038029599
1.69,,1.367530519628748,-0.3412808016154949
1.7,,1.2491827189543945,0.11796176803528452
1.71,,0.5273524132537992,-0.18760894004035533
1.72,,0.959660100404539,-0.22387346405744007
1.73,,0.7483922916304154,0.42694406867570117
1.74,,1.0518413537505757,0.32334178605932756
1.75,,0.8040053396423552,-0.5140156734427352
1.76,,1.0239747368261107,-0.36618789195185353
1.77,,1.736054990910937,-0.12027929528054639
1.78,,1.3426804563853876,-0.2785905788884585
1.79,,0.8729612836774632,-0.2272274692147341
1.8,,1.1324687962832243,0.1087615554929161
1.81,,0.8991850258333101,-0.25395413064553346
1.82,,0.7042001172850133,-0.14384656990337163
1.83,,0.8255505687980647,-0.7656461575552815
1.84,,0.9374806931858675,-0.1661689306389274
1.85,,0.9852885929037969,-0.0415509499959599
1.86,,0.867209559987332,-0.7639740869900302
1.87,,0.83703751809861,-0.24275604078684407
1.88,,1.0770184738369772,-0.04466002336782676
1.89,,1.4477984679854659,-0.6009380940428648
1.9,,1.1380618522984158,0.40204762956568246
1.91,,0.6805474115545114,-0.6551367300682378
1.92,,0.871765968691259,-0.019202637685760637
1.93,,1.1021177282115666,-0.5024087638653133
1.94,,0.9212339192560708,-0.03293235966102798
1.95,,1.1416607553311329,0.3978975066507121
1.96,,1.243237573015874,-0.26764399393485033
1.97,,1.11576432310816,-0.49904324443317083
1.98,,0.6082389833354613,-0.3435012540338966
